ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
1,"Male",2015,"2015",1,"Full-time","412010","Cashiers",26628.986821986335,1175.0250316469348,339429,14282.365848906336,2684,"United States","01000US","united-states"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",44604.819838944764,473.29855443338596,2687401,39769.309522855285,24795,"United States","01000US","united-states"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",55307.393680458496,818.11911967363,655364,19818.056980962032,6906,"United States","01000US","united-states"
2,"Female",2015,"2015",1,"Full-time","412010","Cashiers",21581.484198774182,529.2092318104499,877780,22913.16369465415,7253,"United States","01000US","united-states"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",49575.18729648996,373.6725927476829,2386553,37518.3381533283,25930,"United States","01000US","united-states"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",32436.98850732496,1566.2143310560566,131127,8885.140689930178,1185,"United States","01000US","united-states"
2,"Female",2014,"2014",1,"Full-time","412010","Cashiers",21512.504343554323,584.2115405008236,842743,22452.693179188325,7144,"United States","01000US","united-states"
2,"Female",2014,"2014",1,"Full-time","412031","Retail salespersons",32022.845866669566,924.9267557674098,735811,20990.102398869996,6556,"United States","01000US","united-states"
1,"Male",2014,"2014",1,"Full-time","412031","Retail salespersons",47616.36047832645,1198.0966759901735,1106441,25695.962281283362,9789,"United States","01000US","united-states"
1,"Male",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",102636.29094751045,1401.2249830957885,2356755,37288.490100773415,23309,"United States","01000US","united-states"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",43230.16761003691,451.50534593612275,2625869,39311.163849393146,24656,"United States","01000US","united-states"
1,"Male",2014,"2014",1,"Full-time","412010","Cashiers",27056.323302106997,1485.5970434952562,319602,13859.697823525265,2606,"United States","01000US","united-states"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",55015.29971434917,812.3280909252304,657446,19847.949125184496,7045,"United States","01000US","united-states"
2,"Female",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",77481.57215219412,1394.227532260829,1242755,27215.991781770877,12472,"United States","01000US","united-states"
